Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
1,4/1/26 5:02 PM,Mountain Valley Spring,NA BEV,BEV,NA Beverage,10.00,1.0,false
1,4/1/26 5:03 PM,Tokyo Story,COCKTAILS,BEV,Liquor,17.00,1.0,false
2,4/1/26 5:04 PM,Noriko Oyster,STARTERS,FOOD,Food,30.00,5.0,false
2,4/1/26 5:04 PM,Nori Chips & Dip,STARTERS,FOOD,Food,11.00,1.0,false
2,4/1/26 5:04 PM,Salmon Crudo,STARTERS,FOOD,Food,12.00,1.0,false
2,4/1/26 5:08 PM,Puncha Matcha,COCKTAILS,BEV,Liquor,17.00,1.0,false
2,4/1/26 5:08 PM,Puncha Matcha,COCKTAILS,BEV,Liquor,17.00,1.0,false
2,4/1/26 5:08 PM,CELEBRATION POUR,WINE,BEV,Wine/Sake,0.00,1.0,false
1,4/1/26 5:10 PM,Ora King Salmon Avocado,CLASSICS A LA CARTE,FOOD,Food,9.00,1.0,false
1,4/1/26 5:10 PM,Spicy Octopus,CLASSICS A LA CARTE,FOOD,Food,9.00,1.0,false
1,4/1/26 5:10 PM,Bluefin Tuna Toro,PREMIUM A LA CARTE,FOOD,Food,13.00,1.0,false
1,4/1/26 5:10 PM,Bay Scallop Dynamite,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
1,4/1/26 5:10 PM,Crab Motoyaki,PREMIUM A LA CARTE,FOOD,Food,12.00,1.0,false
2,4/1/26 5:14 PM,CHEFS SET,CHEFS SET,FOOD,Food,43.00,1.0,false
2,4/1/26 5:14 PM,Yellowtail,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,California,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,Bluefin Tuna Poke,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,Bluefin Tuna Toro,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,Bay Scallop Dynamite,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,Wagyu Tataki,PREMIUM A LA CARTE,FOOD,Food,28.00,1.0,false
2,4/1/26 5:14 PM,CHEFS SET,CHEFS SET,FOOD,Food,43.00,1.0,false
2,4/1/26 5:14 PM,Yellowtail,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,California,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,Bluefin Tuna Poke,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,Bluefin Tuna Toro,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,Bay Scallop Dynamite,CHEFS SET,FOOD,Food,0.00,1.0,false
2,4/1/26 5:14 PM,Wagyu Tataki,PREMIUM A LA CARTE,FOOD,Food,28.00,1.0,false
5,4/1/26 5:16 PM,HOME-AKASE SET,Noriko-Sets,NORIKO Handroll Bar,Food,98.00,1.0,false
5,4/1/26 5:16 PM,MAKI MANIA!,Noriko-Sets,NORIKO Handroll Bar,Food,25.00,1.0,false
