Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
1,4/30/26 5:00 PM,Vegetable Dumplings,STARTERS,PERILLA TO-GO,Food,14.00,1.0,false
1,4/30/26 5:00 PM,Pork Dumplings,STARTERS,PERILLA TO-GO,Food,14.00,1.0,false
1,4/30/26 5:00 PM,Bulgogi Rice Bowl,PLATES & BOWLS,PERILLA TO-GO,Food,26.00,1.0,false
1,4/30/26 5:00 PM,Ssam & Dipping Sauces,BANCHAN,PERILLA TO-GO,Food,5.00,1.0,false
1,4/30/26 5:00 PM,Scallion Muchim,BANCHAN,PERILLA TO-GO,Food,6.00,1.0,false
1,4/30/26 5:00 PM,Kimchi Jigae,STEWS,PERILLA TO-GO,Food,18.00,1.0,false
2,4/30/26 5:05 PM,Kimchi Jigae,STEWS,PERILLA TO-GO,Food,18.00,1.0,false
2,4/30/26 5:05 PM,Kimchi Fried Rice,PLATES & BOWLS,PERILLA TO-GO,Food,20.00,1.0,false
2,4/30/26 5:05 PM,Bulgogi,MAINS,PERILLA TO-GO,Food,32.00,1.0,false
3,4/30/26 5:14 PM,Pork Dumplings,STARTERS,PERILLA TO-GO,Food,14.00,1.0,false
3,4/30/26 5:14 PM,Bulgogi Rice Bowl,PLATES & BOWLS,PERILLA TO-GO,Food,24.00,1.0,false
4,4/30/26 5:15 PM,Korean Fried Chicken Wings,STARTERS,PERILLA TO-GO,Food,22.00,1.0,false
4,4/30/26 5:15 PM,FEAST for 2,DINNER SETS,PERILLA TO-GO,Food,60.00,1.0,false
5,4/30/26 5:22 PM,Korean Meal Plate,PLATES & BOWLS,PERILLA TO-GO,Food,22.00,1.0,false
6,4/30/26 5:24 PM,Old Friend,COCKTAILS,BEVERAGE,Liquor,16.00,1.0,false
6,4/30/26 5:24 PM,Broth,Course 1,FOOD,Food,0.00,1.0,false
6,4/30/26 5:24 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
6,4/30/26 5:24 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
6,4/30/26 5:29 PM,House Red Wine,BEVERAGE,HAPPY HOUR,,12.00,1.0,false
7,4/30/26 5:37 PM,Grilled LA Galbi,MAINS,PERILLA TO-GO,Food,32.00,1.0,false
7,4/30/26 5:37 PM,Korean Meal Plate,PLATES & BOWLS,PERILLA TO-GO,Food,24.00,1.0,false
8,4/30/26 5:38 PM,Soondubu Jigae,STEWS,PERILLA TO-GO,Food,18.00,1.0,false
8,4/30/26 5:38 PM,Scallion Pancake,STARTERS,PERILLA TO-GO,Food,16.00,1.0,false
6,4/30/26 5:38 PM,USDA Prime Short Rib,For the Grill,FOOD,Food,26.00,1.0,false
6,4/30/26 5:38 PM,HH Scallion Pancake,FOOD,HAPPY HOUR,,8.00,1.0,false
6,4/30/26 5:38 PM,HH Kimchi Arancini,FOOD,HAPPY HOUR,,5.00,1.0,false
6,4/30/26 5:38 PM,HH Blistered Shishito Peppers,FOOD,HAPPY HOUR,,6.00,1.0,false
6,4/30/26 5:38 PM,HH Jjajangmyeon,FOOD,HAPPY HOUR,,10.00,1.0,false
6,4/30/26 5:38 PM,Rice,Banchan/Accompaniments,FOOD,Food,0.00,2.0,false
9,4/30/26 5:45 PM,Broth,Course 1,FOOD,Food,0.00,3.0,false
9,4/30/26 5:45 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
9,4/30/26 5:45 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,5.0,false
10,4/30/26 5:48 PM,Soondubu Jigae,STEWS,PERILLA TO-GO,Food,20.50,1.0,false
