Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
1,4/1/26 4:47 PM,Tender Sandwich Combo,SIR CHICKEN TO-GO,SIR CHICKEN TO-GO,Sir Chicken,14.00,1.0,false
2,4/1/26 5:03 PM,Side: Perilla Ranch,SIDES,PERILLA TO-GO,Food,1.00,1.0,false
2,4/1/26 5:03 PM,Scallion Muchim,BANCHAN,PERILLA TO-GO,Food,6.00,1.0,false
2,4/1/26 5:03 PM,Bulgogi Rice Bowl,PLATES & BOWLS,PERILLA TO-GO,Food,26.00,1.0,false
2,4/1/26 5:03 PM,Scallion Pancake,STARTERS,PERILLA TO-GO,Food,16.00,1.0,false
3,4/1/26 5:09 PM,Korean Meal Plate,PLATES & BOWLS,PERILLA TO-GO,Food,26.00,1.0,false
3,4/1/26 5:09 PM,Soondubu Jigae,STEWS,PERILLA TO-GO,Food,18.00,1.0,false
4,4/1/26 5:09 PM,Kimchi Fried Rice,PLATES & BOWLS,PERILLA TO-GO,Food,28.00,1.0,false
5,4/1/26 5:22 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
5,4/1/26 5:22 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
5,4/1/26 5:22 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
6,4/1/26 5:26 PM,Bulgogi Rice Bowl,PLATES & BOWLS,PERILLA TO-GO,Food,24.00,1.0,false
6,4/1/26 5:26 PM,Ssam & Dipping Sauces,BANCHAN,PERILLA TO-GO,Food,5.00,1.0,false
5,4/1/26 5:33 PM,HH Korean Fried Chicken Wings,FOOD,HAPPY HOUR,,9.00,1.0,false
5,4/1/26 5:33 PM,Jjajangmyeon,BAR FOOD,BAR/PATIO,Food,12.00,1.0,false
5,4/1/26 5:33 PM,Korean Handshake,BEVERAGE,HAPPY HOUR,,12.00,2.0,false
7,4/1/26 5:38 PM,Bibimbop,PLATES & BOWLS,PERILLA TO-GO,Food,21.00,1.0,false
7,4/1/26 5:38 PM,Tteokbokki,RICE CAKES & NOODLES,PERILLA TO-GO,Food,10.00,1.0,false
7,4/1/26 5:38 PM,Scallion Pancake,STARTERS,PERILLA TO-GO,Food,16.00,1.0,false
9,4/1/26 5:47 PM,Tteokbokki,RICE CAKES & NOODLES,PERILLA TO-GO,Food,12.00,1.0,false
9,4/1/26 5:47 PM,Milkis,DRINKS,PERILLA TO-GO,NA Beverage,3.00,1.0,false
8,4/1/26 5:45 PM,Soondubu Jigae,STEWS,PERILLA TO-GO,Food,18.00,1.0,false
8,4/1/26 5:45 PM,Bulgogi Rice Bowl,PLATES & BOWLS,PERILLA TO-GO,Food,24.00,1.0,false
8,4/1/26 5:45 PM,Korean Fried Chicken Wings,STARTERS,PERILLA TO-GO,Food,22.00,1.0,false
5,4/1/26 5:53 PM,Set Refill,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
10,4/1/26 5:57 PM,FEAST for 2,DINNER SETS,PERILLA TO-GO,Food,65.00,1.0,false
10,4/1/26 5:57 PM,Pork Dumplings,STARTERS,PERILLA TO-GO,Food,14.00,1.0,false
10,4/1/26 5:57 PM,Diet Coke,DRINKS,PERILLA TO-GO,NA Beverage,2.50,1.0,false
10,4/1/26 5:57 PM,Sac Sac Grape,DRINKS,PERILLA TO-GO,NA Beverage,3.00,1.0,false
10,4/1/26 5:57 PM,Coca-Cola,DRINKS,PERILLA TO-GO,NA Beverage,5.00,2.0,false
10,4/1/26 5:57 PM,Scallion Pancake,STARTERS,PERILLA TO-GO,Food,16.00,1.0,false
