
Tenant: Perilla Fare,,Item Library
,,Report as of 05/17/2026

"Location Name","Vendor Name","Item Code","Item Description","UOM","Item UOM","Pack/Size/Unit","Weighable","Category","GL Code","Contracted Price ($)","Last Purchased Date","Last Purchased Price ($)","Close Watch","Product(s)"
PERILLA korean american fare,Big A Ice Company,95614_XC10396043,03 - Whiskey Cube Case,cs,,1 100 ct,false,Liquor/Beverage-5014,5014,0,09/23/2025,50,false,
PERILLA korean american fare,Gordon Food Service,753809,"1000CT LINER PAN 16.38X24.38"" PL-25-1",cs,ea,1000 1 count,false,Restaurant Supplies,6210,0,10/28/2025,81.56,false,
PERILLA korean american fare,Gordon Food Service,373900,100CT PAN STEAM HALF 320-40-100GFS,cs,ea,100 1 count,false,Restaurant Supplies-6210,6210,0,03/27/2026,57.08,false,
PERILLA korean american fare,Gordon Food Service,116475,100-POLY APRON PLAIN 116475,cs,,1 100 piece,false,Restaurant Supplies,6210,0,02/11/2026,46.98,false,
PERILLA korean american fare,Gordon Food Service,485463,"10-1M STIRRER 5.5"" UNWRPD BLK P|L",cs,,1 5.5 in,false,Bar Supplies,6210,0,08/13/2024,38.1,false,
PERILLA korean american fare,Gordon Food Service,479882,1-12C TESCAROLE SPECIALTY 104296,case,ea,12 1 each,false,Produce,5011,0,12/31/2025,32.83,false,
PERILLA korean american fare,The Chefs' Warehouse Midwest LLC,MTF112,1/2 & 1/2 CREAMER PC 348 COUNT 1/348 CT CS,cs,,1 348 ct,false,Dairy,5011,0,04/29/2024,15.35,false,
PERILLA korean american fare,Gordon Food Service,270297,12-750CT TISSUE BATH 2PLY PREM 472885,cs,,12 750 count,false,Restaurant Supplies,6210,0,08/06/2024,34.73,false,
PERILLA korean american fare,Gordon Food Service,285684,12-S|S SCRUB PAD HD 304PB-ARRAY,cs,,1 12 each,false,Restaurant Supplies,6210,0,04/16/2026,33.66,false,
PERILLA korean american fare,Gordon Food Service,738557,1-4.5GAL ULTRA DRY ECOLAB 15172,cs,,1 4.5 gal,false,Chemicals,6213,0,05/01/2026,238.56,false,
PERILLA korean american fare,Joong Boo Market,847511,14CM (#3) CLAY PORCELAIN BOWL,cs,,1 1 ea,false,Dinnerware,6225,0,09/06/2024,4.85,false,
PERILLA korean american fare,Gordon Food Service,898701,15CT PAD SCOUR HVY DUTY,cs,ea,15 1 count,false,Restaurant Supplies,6210,0,05/08/2026,16.18,false,
PERILLA korean american fare,Gordon Food Service,148060,1-5GAL DETRGNT L!Q PANTASTIC 12971,cs,,1 5 gal,false,Chemicals,6213,0,07/22/2025,223.9,false,
PERILLA korean american fare,Gordon Food Service,738581,1-5GAL ULTRA SAN ECOLAB 13961,cs,,1 5 gal,false,Chemicals,6213,0,04/09/2026,79.36,false,
PERILLA korean american fare,"R. Whittingham and Sons, Inc",lcs,160z USDA INSP PORK PORTERHOUSE CHOP,lb,ea,1 1 lb,true,Food - Meat-5013,5013,0,12/04/2025,4.55,false,
