"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","MonthlyAverageWindSpeed","CoolingDegreeDaysSeasonToDate","MonthlyCoolingDegreeDays","MonthlyNumberDaysWithSnowfall","HeatingDegreeDaysSeasonToDate","MonthlyHeatingDegreeDays","MonthlyNumberDaysWithThunderstorms","MonthlyNumberDaysWithHeavyFog","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"USW00094846","2026-01-01T00:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-12","223","","-13.9","-8.9","","","1.4","3","67","8.0","1016.3","991.4","16.0","-10.1","360","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07072530 12566 23611 11089 21139 39914 40163 53014 69931 90551 555 90106=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T00:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","SOD","","","","","","","","","","","","","","","","","","0720","1630","","-9.2","","","","","2.8","0","-6.31","27.5","-6.7","-11.7","350","9.4","0.0","0.0","0.0","350","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T00:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1015.9","-14.4","-9.4","","","","","67","","1016.9","","16.093","","350","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET075METAR KORD 010651Z 35008KT 10SM CLR M09/M14 A3000 RMK AO2 SLP169 T10941144=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T01:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1016.6","-16.1","-10.0","","","","","61","","1017.6","","16.093","","350","","4.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET075METAR KORD 010751Z 35009KT 10SM CLR M10/M16 A3002 RMK AO2 SLP176 T11001161=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T02:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1017.3","-16.7","-11.1","","","1.9","1","64","","1018.2","","16.093","","350","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET081METAR KORD 010851Z 35008KT 10SM CLR M11/M17 A3004 RMK AO2 SLP182 T11111167 51019=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T03:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-12","223","","-16.7","-11.1","","","1.9","1","64","","1018.2","993.4","16.0","-12.3","350","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06472530 32966 03508 11111 21167 39934 40182 51019 90851 555 90109=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T03:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1017.6","-16.7","-11.1","","","","","64","FEW:02 76.2","1018.7","","16.093","","310","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET078METAR KORD 010951Z 31006KT 10SM FEW250 M11/M17 A3005 RMK AO2 SLP187 T11111167=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T04:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1016.6","-16.7","-11.7","","","","","67","FEW:02 76.2","1017.5","","16.093","","310","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 011051Z 31006KT 10SM FEW250 M12/M17 A3002 RMK AO2 SLP175 T11171167 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T05:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1016.9","-17.2","-11.7","","","-0.2","8","64","SCT:04 76.2","1018.0","","16.093","","340","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET104METAR KORD 011151Z 34006KT 10SM SCT250 M12/M17 A3003 RMK AO2 SLP180 7//// T11171172 11089 21117 58002 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T06:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-12","223","","-17.2","-11.7","","","-0.2","8","64","","1018.0","993.0","16.0","-12.8","340","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072530 32966 43406 11117 21172 39930 40180 58002 91151 333 10017 21117 555 90112=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T06:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1017.3","-17.2","-11.7","","","","","64","FEW:02 9.14 SCT:04 33.53 BKN:07 73.15","1018.3","","16.093","","300","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET094METAR KORD 011251Z 30006KT 10SM FEW030 SCT110 BKN240 M12/M17 A3004 RMK AO2 SLP183 T11171172 /=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T07:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1017.3","-16.7","-11.7","","","","","67","FEW:02 9.14 BKN:07 30.48 BKN:07 45.72","1018.2","","16.093","","290","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET094METAR KORD 011351Z 29006KT 10SM FEW030 BKN100 BKN150 M12/M17 A3004 RMK AO2 SLP182 T11171167 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T08:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1017.3","-16.7","-11.1","","","0.2","1","64","FEW:02 9.14 BKN:07 25.91 OVC:08 39.62","1018.3","","16.093","","330","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET100METAR KORD 011451Z 33005KT 10SM FEW030 BKN085 OVC130 M11/M17 A3004 RMK AO2 SLP183 T11111167 51002 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T09:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-12","223","","-16.7","-11.1","","","0.2","1","64","8.0","1018.3","993.4","16.0","-12.3","330","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06472530 32566 83305 11111 21167 39934 40183 51002 91451 555 90115=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T09:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1018.3","-16.7","-10.6","","","","","61","FEW:02 9.14 SCT:04 24.38 OVC:08 39.62","1019.5","","16.093","","280","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET094METAR KORD 011551Z 28004KT 10SM FEW030 SCT080 OVC130 M11/M17 A3007 RMK AO2 SLP195 T11061167 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T10:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1017.3","-16.1","-10.0","","","","","61","OVC:08 16.76","1018.5","","16.093","","300","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 011651Z 30005KT 10SM OVC055 M10/M16 A3004 RMK AO2 SLP185 T11001161 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T11:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1015.6","-16.7","-10.0","","","-1.6","8","58","OVC:08 16.76","1016.8","","16.093","","240","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET098METAR KORD 011751Z 24004KT 10SM OVC055 M10/M17 A2999 RMK AO2 SLP168 T11001167 11094 21117 58016 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T12:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-12","223","","-16.7","-10.0","","","-1.6","8","58","17.5","1016.8","991.7","16.0","-11.5","240","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072530 32766 82404 11100 21167 39917 40168 58016 91751 333 11089 21117 555 90118=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T12:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1014.9","-16.1","-8.9","","","","","56","OVC:08 18.29","1016.2","","16.093","","260","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 011851Z 26006KT 10SM OVC060 M09/M16 A2997 RMK AO2 SLP162 T10891161 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T13:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1014.6","-15.6","-8.3","","","","","56","OVC:08 24.38","1015.7","","16.093","","280","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET086METAR KORD 011951Z 28006KT 10SM OVC080 M08/M16 A2996 RMK AO2 SLP157 VIRGA T10831156 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T14:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1014.6","-15.6","-8.3","","","-1.0","5","56","OVC:08 19.81","1015.7","","16.093","","320","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET086METAR KORD 012051Z 32005KT 10SM OVC065 M08/M16 A2996 RMK AO2 SLP157 T10831156 55010 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T15:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-12","223","","-15.6","-8.3","","","-1.0","5","56","17.5","1015.7","990.7","16.0","-10.1","320","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06472530 32766 83205 11083 21156 39907 40157 55010 92051 555 90121=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T15:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1013.9","-16.1","-8.3","","","","","54","BKN:07 18.29","1015.3","","16.093","","300","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 012151Z 30004KT 10SM BKN060 M08/M16 A2994 RMK AO2 SLP153 T10831161 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T16:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1013.2","-15.6","-7.8","","","","","54","BKN:07 15.24","1014.3","","16.093","","230","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 012251Z 23004KT 10SM BKN050 M08/M16 A2992 RMK AO2 SLP143 T10781156 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T17:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1012.9","-15.6","-7.8","","","-1.8","6","54","OVC:08 13.72","1013.9","","16.093","","270","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET098METAR KORD 012351Z 27003KT 10SM OVC045 M08/M16 A2991 RMK AO2 SLP139 T10781156 11078 21094 56018 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T18:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-12","223","","-15.6","-7.8","","","-1.8","6","54","12.5","1013.9","989.0","16.0","-9.7","270","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072530 32666 82703 11078 21156 39890 40139 56018 92351 333 11078 21117 555 90200=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T18:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1012.9","-15.0","-7.8","","","","","57","OVC:08 14.33","1014.0","","16.093","","VRB","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 020051Z VRB03KT 10SM OVC047 M08/M15 A2991 RMK AO2 SLP140 T10781150 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T19:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1012.5","-13.9","-7.2","","","","","59","OVC:08 14.33","1013.8","","16.093","","230","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 020151Z 23005KT 10SM OVC047 M07/M14 A2990 RMK AO2 SLP138 T10721139 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T20:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1012.9","-12.8","-7.2","","","0.0","4","65","OVC:08 13.41","1013.9","","16.093","","260","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET086METAR KORD 020251Z 26005KT 10SM OVC044 M07/M13 A2991 RMK AO2 SLP139 T10721128 57000 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T21:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-12","223","","-12.8","-7.2","","","0.0","4","65","12.5","1013.9","989.0","16.0","-8.7","260","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06472530 32666 82605 11072 21128 39890 40139 57000 90251 555 90203=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T21:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1012.2","-11.7","-6.7","","","","","68","OVC:08 13.11","1013.4","","16.093","","290","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 020351Z 29004KT 10SM OVC043 M07/M12 A2989 RMK AO2 SLP134 T10671117 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T22:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1012.2","-11.7","-6.7","","","","","68","OVC:08 11.89","1013.3","","16.093","","290","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 020451Z 29006KT 10SM OVC039 M07/M12 A2989 RMK AO2 SLP133 T10671117 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-01T23:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1011.8","-11.7","-6.7","","","-0.9","6","68","OVC:08 11.28","1013.0","","16.093","","260","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET108METAR KORD 020551Z 26005KT 10SM OVC037 M07/M12 A2988 RMK AO2 SLP130 T10671117 11067 21078 410671117 56009 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-02T00:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-12","223","","-11.7","-6.7","","","-0.9","6","68","12.5","1013.0","988.0","16.0","-8.0","260","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072530 32666 82605 11067 21117 39880 40130 56009 90551 333 11067 21117 555 90206=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-02T00:00:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","SOD","","","","","","","","","","","","","","","","","","0720","1631","","-6.1","","","","","3.2","0","-3.16","24.4","-4.4","-7.8","310","7.6","0.0","0.0","0.0","360","5.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-02T00:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1011.5","-11.1","-6.1","","","","","68","OVC:08 10.67","1012.6","","16.093","","270","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 020651Z 27004KT 10SM OVC035 M06/M11 A2987 RMK AO2 SLP126 T10611111 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-02T01:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1011.5","-10.6","-6.1","","","","","71","OVC:08 9.75","1012.7","","16.093","","280","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET080METAR KORD 020751Z 28005KT 10SM OVC032 M06/M11 A2987 RMK AO2 SLP127 T10611106 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-02T02:47:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-16","223","1011.5","-11.0","-6.0","","","","","68","OVC:08 8.84","","","16.093","","290","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET063SPECI KORD 020847Z 29007KT 10SM OVC029 M06/M11 A2987 RMK AO2 $=","","","","","","","","","","06/27/2007"
"USW00094846","2026-01-02T02:51:00","41.96019","-87.93162","201.8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","FM-15","223","1011.5","-11.1","-6.1","","","0.0","0","68","OVC:08 8.84","1012.6","","16.093","","310","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET086METAR KORD 020851Z 31007KT 10SM OVC029 M06/M11 A2987 RMK AO2 SLP126 T10611111 50000 $=","","","","","","","","","","06/27/2007"
