business_date,qty,net_sales,orders,qty_beer,qty_food,qty_liquor,qty_na_beverage,qty_wine_sake,avg_qty_per_order,avg_net_sales_per_order,date,weekday,weekday_num,month,is_weekend,daily_maximum_dry_bulb_temperature,daily_minimum_dry_bulb_temperature,daily_average_dry_bulb_temperature,daily_precipitation,daily_snowfall,daily_snow_depth,daily_average_wind_speed,daily_sustained_wind_speed,daily_peak_wind_speed,daily_average_relative_humidity,daily_average_dew_point_temperature,daily_weather,hourly_average_relative_humidity,hourly_average_dew_point_temperature,hourly_average_dry_bulb_temperature,hourly_average_wind_speed,daily_maximum_dry_bulb_temperature_f,daily_minimum_dry_bulb_temperature_f,daily_average_dry_bulb_temperature_f,daily_average_dew_point_temperature_f,daily_precipitation_in,daily_snowfall_in,daily_snow_depth_in,daily_average_wind_speed_mph,daily_sustained_wind_speed_mph,daily_peak_wind_speed_mph,had_precipitation,had_snowfall,temperature_range_f
2026-01-02,568.0,5684.0,35,6.0,478.0,42.0,17.0,25.0,16.228571428571428,162.4,2026-01-02,Friday,4,January,True,-4.4,-7.8,-6.1,0.0,0.0,0.0,3.2,5.8,7.6,58.5,-13.429411764705883,,58.5,-13.429411764705883,-6.458823529411765,3.2323529411764707,24.08,17.96,21.02,7.83,0.0,0.0,0.0,7.16,12.97,17.0,False,False,6.119999999999997
2026-01-03,572.0,5729.0,33,6.0,490.0,50.0,16.0,10.0,17.333333333333332,173.6060606060606,2026-01-03,Saturday,5,January,True,-3.3,-6.7,-5.0,0.0,0.0,0.0,2.4,4.0,5.8,49.3,-14.196666666666665,,49.3,-14.196666666666665,-5.076666666666667,2.3433333333333333,26.06,19.94,23.0,6.45,0.0,0.0,0.0,5.37,8.95,12.97,False,False,6.119999999999997
2026-01-04,461.0,4824.4,29,6.0,401.0,35.0,7.0,12.0,15.89655172413793,166.35862068965517,2026-01-04,Sunday,6,January,True,1.1,-6.1,-2.5,0.0,0.0,0.0,4.0,8.9,13.4,53.75,-10.4125,,53.75,-10.4125,-2.125,3.853125,33.98,21.02,27.5,13.26,0.0,0.0,0.0,8.95,19.91,29.97,False,False,12.959999999999997
2026-01-05,525.0,4839.0,28,7.0,452.0,26.0,20.0,20.0,18.75,172.82142857142858,2026-01-05,Monday,0,January,False,7.2,0.0,3.6,0.0,0.0,0.0,3.4,7.2,10.7,71.9375,-2.0125,,71.9375,-2.0125,2.7,3.44375,44.96,32.0,38.48,28.38,0.0,0.0,0.0,7.61,16.11,23.94,False,False,12.96
2026-01-06,508.0,5570.6,30,7.0,423.0,47.0,13.0,18.0,16.933333333333334,185.68666666666667,2026-01-06,Tuesday,1,January,False,7.2,1.1,4.2,0.0,0.0,0.0,3.2,6.7,8.9,86.73529411764706,2.0470588235294116,BR HZ DZ,86.73529411764706,2.0470588235294116,4.141176470588236,3.226470588235294,44.96,33.98,39.56,35.68,0.0,0.0,0.0,7.16,14.99,19.91,False,False,10.980000000000004
2026-01-07,416.0,4165.0,26,17.0,350.0,19.0,16.0,14.0,16.0,160.19230769230768,2026-01-07,Wednesday,2,January,False,6.7,0.0,3.4,0.0,0.0,0.0,3.9,6.7,9.8,87.41463414634147,0.824390243902439,BR,87.41463414634147,0.824390243902439,2.824390243902439,3.7902439024390246,44.06,32.0,38.12,33.48,0.0,0.0,0.0,8.72,14.99,21.92,False,False,12.060000000000002
2026-01-08,402.0,4326.01,26,0.0,342.0,39.0,9.0,12.0,15.461538461538462,166.38500000000002,2026-01-08,Thursday,3,January,False,15.6,5.0,10.3,48.8,0.0,0.0,6.2,13.4,15.6,84.20833333333333,8.475,BR RA TS,84.20833333333333,8.475,11.133333333333333,6.366666666666667,60.08,41.0,50.54,47.25,1.921,0.0,0.0,13.87,29.97,34.9,True,False,19.08
2026-01-09,557.0,5585.0,35,8.0,483.0,37.0,8.0,21.0,15.914285714285715,159.57142857142858,2026-01-09,Friday,4,January,True,15.6,4.4,10.0,0.0,0.0,0.0,6.1,16.1,24.6,76.25581395348837,3.3488372093023258,RA,76.25581395348837,3.3488372093023258,7.313953488372093,6.325581395348837,60.08,39.92,50.0,38.03,0.0,0.0,0.0,13.65,36.01,55.03,False,False,20.159999999999997
2026-01-10,580.0,5960.0,34,6.0,485.0,57.0,14.0,18.0,17.058823529411764,175.2941176470588,2026-01-10,Saturday,5,January,True,4.4,-4.4,0.0,4.6,5.0,0.0,5.0,9.8,16.1,79.26,-1.91,BR SN RA,79.26,-1.91,1.432,5.152,39.92,24.08,32.0,28.56,0.181,0.197,0.0,11.18,21.92,36.01,True,True,15.840000000000003
2026-01-11,462.0,4815.0,29,9.0,409.0,25.0,12.0,7.0,15.931034482758621,166.0344827586207,2026-01-11,Sunday,6,January,True,1.1,-6.1,-2.5,0.0,0.0,0.0,5.9,9.8,13.4,66.66666666666667,-8.32857142857143,SN,66.66666666666667,-8.32857142857143,-2.873809523809524,6.095238095238095,33.98,21.02,27.5,17.01,0.0,0.0,0.0,13.2,21.92,29.97,False,False,12.959999999999997
2026-01-12,438.0,4285.01,26,11.0,369.0,29.0,13.0,16.0,16.846153846153847,164.80807692307692,2026-01-12,Monday,0,January,False,6.1,-2.8,1.7,0.0,0.0,0.0,5.1,8.9,12.5,67.0625,-4.8625,,67.0625,-4.8625,0.75,5.090625,42.98,26.96,35.06,23.25,0.0,0.0,0.0,11.41,19.91,27.96,False,False,16.019999999999996
2026-01-13,465.0,4825.0,30,9.0,398.0,29.0,7.0,22.0,15.5,160.83333333333334,2026-01-13,Tuesday,1,January,False,11.1,1.1,6.1,0.0,0.0,0.0,6.2,10.3,14.8,67.15625,-0.16250000000000006,,67.15625,-0.16250000000000006,5.621875,6.11875,51.98,33.98,42.98,31.71,0.0,0.0,0.0,13.87,23.04,33.11,False,False,18.0
2026-01-14,440.0,4499.01,29,0.0,380.0,30.0,8.0,22.0,15.172413793103448,155.13827586206898,2026-01-14,Wednesday,2,January,False,5.6,-8.3,-1.3,1.5,36.0,0.0,7.6,14.8,20.1,69.40625,-9.165625,BR FG SN,69.40625,-9.165625,-4.1578125,9.0765625,42.08,17.06,29.66,15.5,0.059,1.417,0.0,17.0,33.11,44.96,True,True,25.02
2026-01-15,493.0,4901.8,34,8.0,420.0,28.0,14.0,23.0,14.5,144.17058823529413,2026-01-15,Thursday,3,January,False,-4.4,-10.6,-7.5,0.0,0.0,25.0,5.3,10.7,14.8,58.83783783783784,-13.937837837837838,SN,58.83783783783784,-13.937837837837838,-7.113513513513513,5.524324324324325,24.08,12.92,18.5,6.91,0.0,0.0,0.984,11.86,23.94,33.11,False,False,11.159999999999998
2026-01-16,521.0,5824.0,37,5.0,437.0,49.0,11.0,19.0,14.08108108108108,157.40540540540542,2026-01-16,Friday,4,January,True,2.8,-5.6,-1.4,1.8,25.0,25.0,6.2,11.2,18.8,78.53846153846153,-4.938461538461539,BR SN TS,78.53846153846153,-4.938461538461539,-1.5538461538461539,5.901538461538462,37.04,21.92,29.48,23.11,0.071,0.984,0.984,13.87,25.05,42.05,True,True,15.119999999999997
2026-01-17,596.0,6529.0,33,3.0,498.0,66.0,7.0,22.0,18.060606060606062,197.84848484848484,2026-01-17,Saturday,5,January,True,-4.4,-11.1,-7.7,0.0,3.0,0.0,6.7,10.7,15.2,62.91111111111111,-15.322222222222223,SN,62.91111111111111,-15.322222222222223,-9.364444444444445,6.746666666666667,24.08,12.02,18.14,4.42,0.0,0.118,0.0,14.99,23.94,34.0,False,True,12.059999999999999
2026-01-18,434.0,4157.0,29,3.0,390.0,27.0,7.0,7.0,14.96551724137931,143.3448275862069,2026-01-18,Sunday,6,January,True,-7.8,-14.4,-11.1,0.3,10.0,0.0,5.2,8.9,12.1,71.89830508474576,-13.966101694915254,BR SN,71.89830508474576,-13.966101694915254,-9.745762711864407,4.988135593220339,17.96,6.08,12.02,6.86,0.012,0.394,0.0,11.63,19.91,27.07,True,True,11.88
2026-01-19,455.0,4780.0,28,0.0,401.0,32.0,8.0,14.0,16.25,170.71428571428572,2026-01-19,Monday,0,January,False,-7.8,-18.3,-13.0,0.0,8.0,25.0,6.4,11.2,17.0,65.68,-19.02,BR SN,65.68,-19.02,-13.85,6.6,17.96,-0.94,8.6,-2.24,0.0,0.315,0.984,14.32,25.05,38.03,False,True,18.900000000000002
2026-01-20,402.0,3946.0,26,8.0,341.0,27.0,9.0,17.0,15.461538461538462,151.76923076923077,2026-01-20,Tuesday,1,January,False,-4.4,-16.1,-10.2,0.3,0.0,25.0,3.7,7.2,9.8,58.096774193548384,-17.874193548387098,SN,58.096774193548384,-17.874193548387098,-10.941935483870967,3.72258064516129,24.08,3.02,13.64,-0.17,0.012,0.0,0.984,8.28,16.11,21.92,True,False,21.06
2026-01-21,383.0,3898.0,21,9.0,320.0,23.0,15.0,16.0,18.238095238095237,185.61904761904762,2026-01-21,Wednesday,2,January,False,-1.1,-6.1,-3.6,1.0,23.0,25.0,4.9,11.6,16.5,74.51388888888889,-6.858333333333333,BR FG SN,74.51388888888889,-6.858333333333333,-2.7944444444444443,4.647222222222222,30.02,21.02,25.52,19.66,0.039,0.906,0.984,10.96,25.95,36.91,True,True,9.0
