type,menu,menu_group,subgroup,item_open_item,size_modifier,modifiers_special_requests,item_tags,qty_sold,avg_price,item_cogs,gross_sales,discount_amount,refund_amount,voidamount,net_sales,cogs,gross_profit,gross_margin,tax,waste_count,waste_amount
,,,,,,,,52900.0,11.7,,619077.36,24047.58,542.0,16756.21,594487.78,,,,69799.36,0.0,0.0
,BEV,,,,,,,8062.0,16.29,,131307.0,2241.51,0.0,1898.0,129065.49,,,,15143.56,0.0,0.0
,FOOD,,,,,,,42872.0,9.96,,426917.0,19760.56,0.0,10117.4,407156.44,,,,47828.9,0.0,0.0
,SPECIALS,,,,,,,110.0,19.25,,2118.0,1427.4,0.0,0.0,690.6,,,,81.36,0.0,0.0
,NORIKO Handroll Bar,,,,,,,1715.0,28.23,,48415.5,496.9,542.0,717.0,47376.6,,,,5547.43,0.0,0.0
,NORIKO Handroll Bar (Online ordering),,,,,,,17.0,73.53,,1250.0,0.0,0.0,0.0,1250.0,,,,146.86,0.0,0.0
,1-YEAR DINNER,,,,,,,46.0,103.26,,4750.0,32.18,0.0,250.0,4717.82,,,,554.08,0.0,0.0
,Gift card,,,,,,,41.0,108.9,,4465.0,2370.0,0.0,0.0,2095.0,,,,0.0,0.0,0.0
giftCard,Gift card,Gift card,,Add Value ($),,,[],22.0,97.5,,2145.0,2050.0,0.0,0.0,95.0,,,,0.0,0.0,0.0
giftCard,Gift card,Gift card,,Gift Card,,,[],19.0,122.11,,2320.0,320.0,0.0,0.0,2000.0,,,,0.0,0.0,0.0
,Open items,,,,,,,78.0,55.38,,4319.86,89.03,0.0,3773.81,4230.83,,,,497.17,0.0,0.0
