menu_item,weather_metric,correlation,abs_correlation
Chef Series: Cá Ngân,daily_average_dry_bulb_temperature_f,-0.4931229055910857,0.4931229055910857
Chef Series: Cá Ngân,daily_minimum_dry_bulb_temperature_f,-0.4843177111734022,0.4843177111734022
Chef Series: Cá Ngân,daily_maximum_dry_bulb_temperature_f,-0.4836948209073846,0.4836948209073846
Chef Series: Cá Ngân,daily_average_dew_point_temperature_f,-0.41527197032233926,0.41527197032233926
Chef Series: Cá Ngân,daily_snow_depth_in,0.354564040488933,0.354564040488933
Bay Scallop Dynamite,daily_average_dry_bulb_temperature_f,-0.29792625448079535,0.29792625448079535
Bay Scallop Dynamite,daily_maximum_dry_bulb_temperature_f,-0.29679649127086555,0.29679649127086555
Bay Scallop Dynamite,daily_minimum_dry_bulb_temperature_f,-0.2874236103955219,0.2874236103955219
Chef Series: Cá Ngân,daily_snowfall_in,0.2811043927273273,0.2811043927273273
Bay Scallop Dynamite,daily_average_dew_point_temperature_f,-0.2697522527854075,0.2697522527854075
Chef Series: Cá Ngân,temperature_range_f,-0.2668520454271099,0.2668520454271099
Bluefin Tuna Akami,daily_peak_wind_speed_mph,-0.2550836202831573,0.2550836202831573
Bluefin Tuna Akami,daily_sustained_wind_speed_mph,-0.24129536261427378,0.24129536261427378
Noriko Oyster,temperature_range_f,-0.22521611307724565,0.22521611307724565
Bay Scallop Dynamite,daily_snowfall_in,0.2169899226504234,0.2169899226504234
Ika Aburi,daily_average_wind_speed_mph,0.21509580994337407,0.21509580994337407
Crab Motoyaki,daily_precipitation_in,-0.2125035873819534,0.2125035873819534
Noriko Oyster,daily_maximum_dry_bulb_temperature_f,-0.2017110406650062,0.2017110406650062
Bluefin Tuna Toro,daily_snowfall_in,0.19482283828016242,0.19482283828016242
Ora King Salmon Avocado,daily_snowfall_in,0.19106306144381854,0.19106306144381854
CHEFS SET,daily_average_dry_bulb_temperature_f,-0.18763326278468417,0.18763326278468417
CHEFS SET,daily_minimum_dry_bulb_temperature_f,-0.18686536900234327,0.18686536900234327
SIGNATURE SET,daily_sustained_wind_speed_mph,0.1838209275624022,0.1838209275624022
Bluefin Tuna Akami,temperature_range_f,-0.1837749415408774,0.1837749415408774
Bluefin Tuna Akami,daily_precipitation_in,-0.18342684937251955,0.18342684937251955
Spicy Ora King Salmon,daily_precipitation_in,-0.1823041911404944,0.1823041911404944
CHEFS SET,daily_maximum_dry_bulb_temperature_f,-0.1822947092806921,0.1822947092806921
Bay Scallop Dynamite,temperature_range_f,-0.18222435043614696,0.18222435043614696
Bluefin Tuna Poke,daily_maximum_dry_bulb_temperature_f,-0.18056959177454016,0.18056959177454016
Noriko Oyster,daily_average_dry_bulb_temperature_f,-0.17907817452685362,0.17907817452685362
